"","p_7_afterwork","a_7_afterwork"
"1",0,0
"2",0,620
"3",0,537
"4",0,0
"5",0,0
"6",0,0
"7",0,2602
"8",0,3380
"9",0,2602
"10",0,537
"11",0,0
"12",0,620
"13",0,0
"14",0,0
"15",0,3470
"16",0,0
"17",0,0
"18",0,2602
"19",2213,0
"20",0,0
"21",4426,0
"22",0,0
"23",0,0
"24",0,1033
"25",0,0
"26",0,1735
"27",0,1690
"28",0,0
"29",2212,0
"30",0,0
"31",0,207
"32",17704,0
"33",0,0
"34",0,1735
"35",0,4338
"36",0,1690
"37",0,845
"38",0,0
"39",0,5205
"40",6639,0
"41",0,0
"42",0,620
"43",17704,0
"44",0,620
"45",0,4225
"46",15491,0
"47",0,0
"48",15491,0
"49",0,1239
"50",0,0
"51",0,19952
"52",0,3222
"53",0,2535
"54",0,0
"55",0,0
"56",0,6981
"57",15491,0
"58",0,0
"59",8852,0
"60",0,1033
"61",0,867
"62",0,0
"63",0,4337
"64",0,0
"65",0,4957
"66",0,14747
"67",0,0
"68",0,0
"69",0,4833
"70",0,1690
"71",0,0
"72",0,0
"73",0,9542
"74",0,2535
"75",0,3305
"76",0,0
"77",0,1239
"78",17704,0
