"","p_8_backhome","a_8_backhome"
"1",0,772
"2",32,0
"3",70,0
"4",0,0
"5",0,600
"6",0,0
"7",314,0
"8",29,0
"9",314,0
"10",70,0
"11",0,0
"12",32,0
"13",0,772
"14",0,0
"15",419,0
"16",0,686
"17",0,0
"18",314,0
"19",18,0
"20",0,0
"21",36,0
"22",0,0
"23",0,0
"24",52,0
"25",0,858
"26",210,0
"27",15,0
"28",0,0
"29",18,0
"30",0,515
"31",11,0
"32",0,0
"33",0,428
"34",210,0
"35",524,0
"36",15,0
"37",7,0
"38",0,1458
"39",629,0
"40",54,0
"41",0,0
"42",202,0
"43",0,0
"44",202,0
"45",37,0
"46",0,0
"47",0,3345
"48",125,0
"49",403,0
"50",0,0
"51",2411,0
"52",419,0
"53",22,0
"54",0,515
"55",0,0
"56",908,0
"57",0,0
"58",0,0
"59",72,0
"60",54,0
"61",105,0
"62",0,0
"63",226,0
"64",0,2659
"65",3709,0
"66",1782,0
"67",0,772
"68",0,0
"69",629,0
"70",15,0
"71",0,0
"72",0,2745
"73",1153,0
"74",22,0
"75",172,0
"76",0,0
"77",64,0
"78",0,0
