"","p_9_ue","a_9_ue"
"1",2472,0
"2",0,516
"3",0,516
"4",0,0
"5",1921,0
"6",0,0
"7",0,1625
"8",0,-49708
"9",0,1625
"10",0,516
"11",0,0
"12",0,516
"13",2470,0
"14",0,0
"15",0,2167
"16",2195,0
"17",0,0
"18",0,1625
"19",0,401
"20",0,0
"21",0,802
"22",0,0
"23",0,0
"24",0,860
"25",2744,0
"26",0,1083
"27",0,938
"28",0,0
"29",0,401
"30",1646,0
"31",0,172
"32",0,0
"33",1372,0
"34",0,1083
"35",0,2708
"36",0,938
"37",0,469
"38",4665,0
"39",0,3250
"40",0,1204
"41",0,0
"42",0,258
"43",0,0
"44",0,258
"45",0,2345
"46",0,0
"47",10702,0
"48",0,2809
"49",0,516
"50",0,0
"51",0,12458
"52",0,3095
"53",0,1407
"54",1646,0
"55",0,0
"56",0,6706
"57",0,0
"58",0,0
"59",0,1605
"60",0,860
"61",0,542
"62",0,0
"63",0,3611
"64",8506,0
"65",0,15476
"66",0,9208
"67",2470,0
"68",0,0
"69",0,4643
"70",0,938
"71",0,0
"72",8781,0
"73",0,5958
"74",0,1407
"75",0,2751
"76",0,0
"77",0,1032
"78",0,0
