"","p_3_e","a_3_e"
"1",926,0
"2",0,68
"3",0,64
"4",0,0
"5",720,0
"6",0,0
"7",0,406
"8",0,211
"9",0,406
"10",0,64
"11",0,0
"12",0,68
"13",926,0
"14",0,0
"15",0,542
"16",823,0
"17",0,0
"18",0,406
"19",0,64
"20",0,0
"21",0,129
"22",0,0
"23",0,0
"24",0,113
"25",1029,0
"26",0,271
"27",0,106
"28",0,0
"29",0,64
"30",618,0
"31",0,23
"32",0,0
"33",515,0
"34",0,271
"35",0,677
"36",0,106
"37",0,53
"38",1750,0
"39",0,813
"40",0,194
"41",0,0
"42",0,97
"43",0,0
"44",0,97
"45",0,264
"46",0,0
"47",4014,0
"48",0,452
"49",0,194
"50",0,0
"51",0,3115
"52",0,387
"53",0,158
"54",618,0
"55",0,0
"56",0,838
"57",0,0
"58",0,0
"59",0,258
"60",0,113
"61",0,135
"62",0,0
"63",0,474
"64",3191,0
"65",0,2516
"66",0,2303
"67",926,0
"68",0,0
"69",0,580
"70",0,106
"71",0,0
"72",3294,0
"73",0,1490
"74",0,158
"75",0,361
"76",0,0
"77",0,135
"78",0,0
