"","p_6_ue","a_6_ue"
"1",0,2472
"2",180,0
"3",172,0
"4",0,0
"5",0,1921
"6",0,0
"7",1084,0
"8",563,0
"9",1084,0
"10",172,0
"11",0,0
"12",180,0
"13",0,2470
"14",0,0
"15",1444,0
"16",0,2195
"17",0,0
"18",1084,0
"19",172,0
"20",0,0
"21",344,0
"22",0,0
"23",0,0
"24",301,0
"25",0,2744
"26",722,0
"27",282,0
"28",0,0
"29",172,0
"30",0,1646
"31",60,0
"32",0,0
"33",0,1372
"34",722,0
"35",1806,0
"36",282,0
"37",140,0
"38",0,4665
"39",2166,0
"40",516,0
"41",0,0
"42",258,0
"43",0,0
"44",258,0
"45",704,0
"46",0,0
"47",0,10702
"48",1203,0
"49",516,0
"50",0,0
"51",8306,0
"52",1032,0
"53",422,0
"54",0,1646
"55",0,0
"56",2236,0
"57",0,0
"58",0,0
"59",688,0
"60",301,0
"61",361,0
"62",0,0
"63",1264,0
"64",0,8506
"65",6706,0
"66",6139,0
"67",0,2470
"68",0,0
"69",1548,0
"70",282,0
"71",0,0
"72",0,8781
"73",3972,0
"74",422,0
"75",963,0
"76",0,0
"77",361,0
"78",0,0
