"","p_9_home_ue","a_9_home_ue"
"1",0,-46646
"2",516,0
"3",516,0
"4",0,0
"5",0,3842
"6",0,0
"7",1625,0
"8",-49708,0
"9",1625,0
"10",516,0
"11",0,0
"12",516,0
"13",0,4939
"14",0,0
"15",2167,0
"16",0,4390
"17",0,0
"18",1625,0
"19",401,0
"20",0,0
"21",802,0
"22",0,0
"23",0,0
"24",860,0
"25",0,5488
"26",1083,0
"27",938,0
"28",0,0
"29",401,0
"30",0,3293
"31",172,0
"32",0,0
"33",0,2744
"34",1083,0
"35",2708,0
"36",938,0
"37",469,0
"38",0,9330
"39",3250,0
"40",1204,0
"41",0,0
"42",258,0
"43",0,0
"44",258,0
"45",2345,0
"46",0,0
"47",0,21403
"48",2809,0
"49",516,0
"50",0,0
"51",12458,0
"52",3095,0
"53",1407,0
"54",0,3293
"55",0,0
"56",6706,0
"57",0,0
"58",0,0
"59",1605,0
"60",860,0
"61",542,0
"62",0,0
"63",3611,0
"64",0,17013
"65",15476,0
"66",9208,0
"67",0,4939
"68",0,0
"69",4643,0
"70",938,0
"71",0,0
"72",0,17562
"73",5958,0
"74",1407,0
"75",2751,0
"76",0,0
"77",1032,0
"78",0,0
