,Home to EDU and Work (Production) (i),Home to EDU and work (Attraction) (i),Work to Home (Production) (ii),Work to Home (Attraction) (ii),Home to shop Production,Home to Shop Attraction,Shop to Home Production,Shop to Home Attraction,EDU and work to Shop (Production),EDU and work to Shop (Attraction)
1,16758,0,0,14364,3591,0,0,3591,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,20001,16001,0,0,0,0,0,4000,0
5,18035,0,0,11172,2793,0,0,2793,0,0
6,0,3692,2954,0,0,0,0,0,738,0
7,0,0,0,0,0,2206,2206,0,0,2206
8,0,0,0,0,0,2942,2942,0,0,2942
9,0,0,0,0,0,2206,2206,0,0,2206
10,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0
13,21758,0,0,14364,3591,0,0,3591,0,0
14,0,5538,4430,0,0,0,0,0,1108,0
15,0,0,0,0,0,2942,2942,0,0,2942
16,14897,0,0,12768,3192,0,0,3192,0,0
17,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,2206,2206,0,0,2206
19,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0
22,0,5538,4430,0,0,0,0,0,1108,0
23,0,7385,5908,0,0,0,0,0,1477,0
24,0,0,0,0,0,0,0,0,0,0
25,18621,0,0,15961,3990,0,0,3990,0,0
26,0,0,0,0,0,1471,1471,0,0,1471
27,0,0,0,0,0,1471,1471,0,0,1471
28,0,5538,4430,0,0,0,0,0,1108,0
29,0,0,0,0,0,0,0,0,0,0
30,11172,0,0,9576,2394,0,0,2394,0,0
31,0,0,0,0,0,0,0,0,0,0
32,0,59595,47676,0,0,0,0,0,11919,0
33,14311,0,0,7980,1995,0,0,1995,0,0
34,0,0,0,0,0,1471,1471,0,0,1471
35,0,0,0,0,0,3677,3677,0,0,3677
36,0,0,0,0,0,1471,1471,0,0,1471
37,0,0,0,0,0,735,735,0,0,735
38,36656,0,0,27133,6783,0,0,6783,0,0
39,0,0,0,0,0,4413,4413,0,0,4413
40,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0
43,0,59595,47676,0,0,0,0,0,11919,0
44,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,3677,3677,0,0,3677
46,0,52143,41714,0,0,0,0,0,10429,0
47,72622,0,0,62246,15562,0,0,15562,0,0
48,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,16915,16915,0,0,16915
52,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,2206,2206,0,0,2206
54,16172,0,0,9576,2394,0,0,2394,0,0
55,0,5538,4430,0,0,0,0,0,1108,0
56,0,0,0,0,0,0,0,0,0,0
57,0,52145,41716,0,0,0,0,0,10429,0
58,0,3692,2954,0,0,0,0,0,738,0
59,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,735,735,0,0,735
62,0,9231,7385,0,0,0,0,0,1846,0
63,0,0,0,0,0,0,0,0,0,0
64,57725,0,0,49478,12369,0,0,12369,0,0
65,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,12503,12503,0,0,12503
67,16758,0,0,14364,3591,0,0,3591,0,0
68,0,9231,7385,0,0,0,0,0,1846,0
69,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,1471,1471,0,0,1471
71,0,9231,7385,0,0,0,0,0,1846,0
72,59588,0,0,51076,12770,0,0,12770,0,0
73,0,0,0,0,0,8090,8090,0,0,8090
74,0,0,0,0,0,2207,2207,0,0,2207
75,0,0,0,0,0,0,0,0,0,0
76,0,7385,5908,0,0,0,0,0,1477,0
77,0,0,0,0,0,0,0,0,0,0
78,0,59595,47676,0,0,0,0,0,11919,0
