Latitude,Longitude,coords
37.9077,-122.5191,1||1
37.9077,-122.5117,1||2
37.9077,-122.5042,1||3
37.9077,-122.4967,1||4
37.9077,-122.4893,1||5
37.9077,-122.4818,1||6
37.9077,-122.4744,1||7
37.9077,-122.4669,1||8
37.9077,-122.4594,1||9
37.9077,-122.452,1||10
37.9077,-122.4445,1||11
37.9077,-122.437,1||12
37.9077,-122.4296,1||13
37.9077,-122.4221,1||14
37.9077,-122.4147,1||15
37.9077,-122.4072,1||16
37.9077,-122.3997,1||17
37.9077,-122.3923,1||18
37.9077,-122.3848,1||19
37.9077,-122.3774,1||20
37.9077,-122.3699,1||21
37.9077,-122.3624,1||22
37.9077,-122.355,1||23
37.9077,-122.3475,1||24
37.9077,-122.3401,1||25
37.9077,-122.3326,1||26
37.9077,-122.3251,1||27
37.9077,-122.3177,1||28
37.9077,-122.3102,1||29
37.9077,-122.3027,1||30
37.9077,-122.2953,1||31
37.9077,-122.2878,1||32
37.9002,-122.5191,2||1
37.9002,-122.5117,2||2
37.9002,-122.5042,2||3
37.9002,-122.4967,2||4
37.9002,-122.4893,2||5
37.9002,-122.4818,2||6
37.9002,-122.4744,2||7
37.9002,-122.4669,2||8
37.9002,-122.4594,2||9
37.9002,-122.452,2||10
37.9002,-122.4445,2||11
37.9002,-122.437,2||12
37.9002,-122.4296,2||13
37.9002,-122.4221,2||14
37.9002,-122.4147,2||15
37.9002,-122.4072,2||16
37.9002,-122.3997,2||17
37.9002,-122.3923,2||18
37.9002,-122.3848,2||19
37.9002,-122.3774,2||20
37.9002,-122.3699,2||21
37.9002,-122.3624,2||22
37.9002,-122.355,2||23
37.9002,-122.3475,2||24
37.9002,-122.3401,2||25
37.9002,-122.3326,2||26
37.9002,-122.3251,2||27
37.9002,-122.3177,2||28
37.9002,-122.3102,2||29
37.9002,-122.3027,2||30
37.9002,-122.2953,2||31
37.9002,-122.2878,2||32
37.8928,-122.5191,3||1
37.8928,-122.5117,3||2
37.8928,-122.5042,3||3
37.8928,-122.4967,3||4
37.8928,-122.4893,3||5
37.8928,-122.4818,3||6
37.8928,-122.4744,3||7
37.8928,-122.4669,3||8
37.8928,-122.4594,3||9
37.8928,-122.452,3||10
37.8928,-122.4445,3||11
37.8928,-122.437,3||12
37.8928,-122.4296,3||13
37.8928,-122.4221,3||14
37.8928,-122.4147,3||15
37.8928,-122.4072,3||16
37.8928,-122.3997,3||17
37.8928,-122.3923,3||18
37.8928,-122.3848,3||19
37.8928,-122.3774,3||20
37.8928,-122.3699,3||21
37.8928,-122.3624,3||22
37.8928,-122.355,3||23
37.8928,-122.3475,3||24
37.8928,-122.3401,3||25
37.8928,-122.3326,3||26
37.8928,-122.3251,3||27
37.8928,-122.3177,3||28
37.8928,-122.3102,3||29
37.8928,-122.3027,3||30
37.8928,-122.2953,3||31
37.8928,-122.2878,3||32
37.8853,-122.5191,4||1
37.8853,-122.5117,4||2
37.8853,-122.5042,4||3
37.8853,-122.4967,4||4
37.8853,-122.4893,4||5
37.8853,-122.4818,4||6
37.8853,-122.4744,4||7
37.8853,-122.4669,4||8
37.8853,-122.4594,4||9
37.8853,-122.452,4||10
37.8853,-122.4445,4||11
37.8853,-122.437,4||12
37.8853,-122.4296,4||13
37.8853,-122.4221,4||14
37.8853,-122.4147,4||15
37.8853,-122.4072,4||16
37.8853,-122.3997,4||17
37.8853,-122.3923,4||18
37.8853,-122.3848,4||19
37.8853,-122.3774,4||20
37.8853,-122.3699,4||21
37.8853,-122.3624,4||22
37.8853,-122.355,4||23
37.8853,-122.3475,4||24
37.8853,-122.3401,4||25
37.8853,-122.3326,4||26
37.8853,-122.3251,4||27
37.8853,-122.3177,4||28
37.8853,-122.3102,4||29
37.8853,-122.3027,4||30
37.8853,-122.2953,4||31
37.8853,-122.2878,4||32
37.8778,-122.5191,5||1
37.8778,-122.5117,5||2
37.8778,-122.5042,5||3
37.8778,-122.4967,5||4
37.8778,-122.4893,5||5
37.8778,-122.4818,5||6
37.8778,-122.4744,5||7
37.8778,-122.4669,5||8
37.8778,-122.4594,5||9
37.8778,-122.452,5||10
37.8778,-122.4445,5||11
37.8778,-122.437,5||12
37.8778,-122.4296,5||13
37.8778,-122.4221,5||14
37.8778,-122.4147,5||15
37.8778,-122.4072,5||16
37.8778,-122.3997,5||17
37.8778,-122.3923,5||18
37.8778,-122.3848,5||19
37.8778,-122.3774,5||20
37.8778,-122.3699,5||21
37.8778,-122.3624,5||22
37.8778,-122.355,5||23
37.8778,-122.3475,5||24
37.8778,-122.3401,5||25
37.8778,-122.3326,5||26
37.8778,-122.3251,5||27
37.8778,-122.3177,5||28
37.8778,-122.3102,5||29
37.8778,-122.3027,5||30
37.8778,-122.2953,5||31
37.8778,-122.2878,5||32
37.8704,-122.5191,6||1
37.8704,-122.5117,6||2
37.8704,-122.5042,6||3
37.8704,-122.4967,6||4
37.8704,-122.4893,6||5
37.8704,-122.4818,6||6
37.8704,-122.4744,6||7
37.8704,-122.4669,6||8
37.8704,-122.4594,6||9
37.8704,-122.452,6||10
37.8704,-122.4445,6||11
37.8704,-122.437,6||12
37.8704,-122.4296,6||13
37.8704,-122.4221,6||14
37.8704,-122.4147,6||15
37.8704,-122.4072,6||16
37.8704,-122.3997,6||17
37.8704,-122.3923,6||18
37.8704,-122.3848,6||19
37.8704,-122.3774,6||20
37.8704,-122.3699,6||21
37.8704,-122.3624,6||22
37.8704,-122.355,6||23
37.8704,-122.3475,6||24
37.8704,-122.3401,6||25
37.8704,-122.3326,6||26
37.8704,-122.3251,6||27
37.8704,-122.3177,6||28
