,0,1,2
0,37.90768039,-122.5191224,0||0
1,37.90768039,-122.51166108387096,0||1
2,37.90768039,-122.50419976774194,0||2
3,37.90768039,-122.4967384516129,0||3
4,37.90768039,-122.48927713548387,0||4
5,37.90768039,-122.48181581935484,0||5
6,37.90768039,-122.47435450322581,0||6
7,37.90768039,-122.46689318709677,0||7
8,37.90768039,-122.45943187096775,0||8
9,37.90768039,-122.45197055483871,0||9
10,37.90768039,-122.44450923870968,0||10
11,37.90768039,-122.43704792258065,0||11
12,37.90768039,-122.42958660645161,0||12
13,37.90768039,-122.42212529032258,0||13
14,37.90768039,-122.41466397419354,0||14
15,37.90768039,-122.40720265806452,0||15
16,37.90768039,-122.39974134193548,0||16
17,37.90768039,-122.39228002580646,0||17
18,37.90768039,-122.38481870967742,0||18
19,37.90768039,-122.3773573935484,0||19
20,37.90768039,-122.36989607741936,0||20
21,37.90768039,-122.36243476129032,0||21
22,37.90768039,-122.35497344516129,0||22
23,37.90768039,-122.34751212903225,0||23
24,37.90768039,-122.34005081290323,0||24
25,37.90768039,-122.33258949677419,0||25
26,37.90768039,-122.32512818064517,0||26
27,37.90768039,-122.31766686451613,0||27
28,37.90768039,-122.3102055483871,0||28
29,37.90768039,-122.30274423225806,0||29
30,37.90768039,-122.29528291612904,0||30
31,37.90768039,-122.2878216,0||31
32,37.90021907451613,-122.5191224,1||0
33,37.90021907451613,-122.51166108387096,1||1
34,37.90021907451613,-122.50419976774194,1||2
35,37.90021907451613,-122.4967384516129,1||3
36,37.90021907451613,-122.48927713548387,1||4
37,37.90021907451613,-122.48181581935484,1||5
38,37.90021907451613,-122.47435450322581,1||6
39,37.90021907451613,-122.46689318709677,1||7
40,37.90021907451613,-122.45943187096775,1||8
41,37.90021907451613,-122.45197055483871,1||9
42,37.90021907451613,-122.44450923870968,1||10
43,37.90021907451613,-122.43704792258065,1||11
44,37.90021907451613,-122.42958660645161,1||12
45,37.90021907451613,-122.42212529032258,1||13
46,37.90021907451613,-122.41466397419354,1||14
47,37.90021907451613,-122.40720265806452,1||15
48,37.90021907451613,-122.39974134193548,1||16
49,37.90021907451613,-122.39228002580646,1||17
50,37.90021907451613,-122.38481870967742,1||18
51,37.90021907451613,-122.3773573935484,1||19
