,P_SR_to_SR_employed,A_SR_to_SR_employed
0,0.0,0.0
1,610.0,871.0
2,581.0,871.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,3660.0,2745.0
7,1901.0,3168.0
8,3660.0,2745.0
9,581.0,871.0
10,0.0,0.0
11,610.0,871.0
12,0.0,0.0
13,0.0,0.0
14,4879.0,3660.0
15,0.0,0.0
16,0.0,0.0
17,3660.0,2745.0
18,581.0,678.0
19,0.0,0.0
20,1162.0,1355.0
21,0.0,0.0
22,0.0,0.0
23,1017.0,1452.0
24,0.0,0.0
25,2440.0,1830.0
26,951.0,1584.0
27,0.0,0.0
28,581.0,678.0
29,0.0,0.0
30,203.0,290.0
31,0.0,0.0
32,0.0,0.0
33,2440.0,1830.0
34,6099.0,4574.0
35,951.0,1584.0
36,475.0,792.0
37,0.0,0.0
38,7319.0,5489.0
39,1743.0,2033.0
40,0.0,0.0
41,871.0,436.0
42,0.0,0.0
43,871.0,436.0
44,2376.0,3961.0
45,0.0,0.0
46,0.0,0.0
47,4066.0,4744.0
48,1743.0,871.0
49,0.0,0.0
50,28056.0,21042.0
51,3485.0,5228.0
52,1426.0,2376.0
53,0.0,0.0
54,0.0,0.0
55,7547.0,11327.0
56,0.0,0.0
57,0.0,0.0
58,2324.0,2711.0
59,1017.0,1452.0
60,1220.0,915.0
61,0.0,0.0
62,4269.0,6099.0
63,0.0,0.0
64,22654.0,26139.0
65,20737.0,15553.0
66,0.0,0.0
67,0.0,0.0
68,5228.0,7842.0
69,951.0,1584.0
70,0.0,0.0
71,0.0,0.0
72,13418.0,10064.0
73,1426.0,2376.0
74,3253.0,4647.0
75,0.0,0.0
76,1220.0,1743.0
77,0.0,0.0
