,P_SR_to_SR_unemployed,A_SR_to_SR_unemployed
0,0.0,0.0
1,361.0,516.0
2,344.0,516.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,2167.0,1625.0
7,1126.0,1876.0
8,2167.0,1625.0
9,344.0,516.0
10,0.0,0.0
11,361.0,516.0
12,0.0,0.0
13,0.0,0.0
14,2889.0,2167.0
15,0.0,0.0
16,0.0,0.0
17,2167.0,1625.0
18,344.0,401.0
19,0.0,0.0
20,688.0,802.0
21,0.0,0.0
22,0.0,0.0
23,602.0,860.0
24,0.0,0.0
25,1443.0,1083.0
26,563.0,938.0
27,0.0,0.0
28,344.0,401.0
29,0.0,0.0
30,120.0,172.0
31,0.0,0.0
32,0.0,0.0
33,1444.0,1083.0
34,3611.0,2708.0
35,563.0,938.0
36,281.0,469.0
37,0.0,0.0
38,4333.0,3250.0
39,1032.0,1204.0
40,0.0,0.0
41,516.0,258.0
42,0.0,0.0
43,516.0,258.0
44,1407.0,2345.0
45,0.0,0.0
46,0.0,0.0
47,2407.0,2809.0
48,1032.0,517.0
49,0.0,0.0
50,16611.0,12458.0
51,2064.0,3095.0
52,844.0,1407.0
53,0.0,0.0
54,0.0,0.0
55,4471.0,6706.0
56,0.0,0.0
57,0.0,0.0
58,1376.0,1605.0
59,602.0,860.0
60,722.0,542.0
61,0.0,0.0
62,2528.0,3611.0
63,0.0,0.0
64,13413.0,15476.0
65,12278.0,9208.0
66,0.0,0.0
67,0.0,0.0
68,3095.0,4643.0
69,563.0,938.0
70,0.0,0.0
71,0.0,0.0
72,7944.0,5958.0
73,844.0,1407.0
74,1926.0,2751.0
75,0.0,0.0
76,722.0,1032.0
77,0.0,0.0
