,P_SR_to_home_employed,A_SR_to_home_employed
0,0.0,4171.0
1,305.0,0.0
2,290.0,0.0
3,0.0,0.0
4,0.0,3244.0
5,0.0,0.0
6,1830.0,0.0
7,950.0,0.0
8,1830.0,0.0
9,290.0,0.0
10,0.0,0.0
11,305.0,0.0
12,0.0,4171.0
13,0.0,0.0
14,2440.0,0.0
15,0.0,3708.0
16,0.0,0.0
17,1830.0,0.0
18,290.0,0.0
19,0.0,0.0
20,581.0,0.0
21,0.0,0.0
22,0.0,0.0
23,508.0,0.0
24,0.0,4635.0
25,1220.0,0.0
26,476.0,0.0
27,0.0,0.0
28,290.0,0.0
29,0.0,2781.0
30,102.0,0.0
31,0.0,0.0
32,0.0,2317.0
33,1220.0,0.0
34,3050.0,0.0
35,476.0,0.0
36,238.0,0.0
37,0.0,7879.0
38,3660.0,0.0
39,872.0,0.0
40,0.0,0.0
41,436.0,0.0
42,0.0,0.0
43,436.0,0.0
44,1188.0,0.0
45,0.0,0.0
46,0.0,18075.0
47,2033.0,0.0
48,872.0,0.0
49,0.0,0.0
50,14028.0,0.0
51,1742.0,0.0
52,713.0,0.0
53,0.0,2781.0
54,0.0,0.0
55,3774.0,0.0
56,0.0,0.0
57,0.0,0.0
58,1162.0,0.0
59,508.0,0.0
60,610.0,0.0
61,0.0,0.0
62,2134.0,0.0
63,0.0,14368.0
64,11327.0,0.0
65,10368.0,0.0
66,0.0,4171.0
67,0.0,0.0
68,2614.0,0.0
69,476.0,0.0
70,0.0,0.0
71,0.0,14831.0
72,6709.0,0.0
73,713.0,0.0
74,1626.0,0.0
75,0.0,0.0
76,610.0,0.0
77,0.0,0.0
