,P_school_SR_to_home,A_school_SR_to_home
0,0.0,772.0
1,32.0,0.0
2,70.0,0.0
3,0.0,0.0
4,0.0,600.0
5,0.0,0.0
6,314.0,0.0
7,29.0,0.0
8,314.0,0.0
9,70.0,0.0
10,0.0,0.0
11,32.0,0.0
12,0.0,772.0
13,0.0,0.0
14,419.0,0.0
15,0.0,686.0
16,0.0,0.0
17,314.0,0.0
18,18.0,0.0
19,0.0,0.0
20,36.0,0.0
21,0.0,0.0
22,0.0,0.0
23,54.0,0.0
24,0.0,858.0
25,210.0,0.0
26,15.0,0.0
27,0.0,0.0
28,18.0,0.0
29,0.0,515.0
30,11.0,0.0
31,0.0,0.0
32,0.0,429.0
33,210.0,0.0
34,524.0,0.0
35,15.0,0.0
36,7.0,0.0
37,0.0,1458.0
38,629.0,0.0
39,54.0,0.0
40,0.0,0.0
41,202.0,0.0
42,0.0,0.0
43,202.0,0.0
44,37.0,0.0
45,0.0,0.0
46,0.0,3345.0
47,125.0,0.0
48,403.0,0.0
49,0.0,0.0
50,2411.0,0.0
51,419.0,0.0
52,22.0,0.0
53,0.0,515.0
54,0.0,0.0
55,908.0,0.0
56,0.0,0.0
57,0.0,0.0
58,72.0,0.0
59,54.0,0.0
60,105.0,0.0
61,0.0,0.0
62,226.0,0.0
63,0.0,2660.0
64,3709.0,0.0
65,1782.0,0.0
66,0.0,772.0
67,0.0,0.0
68,629.0,0.0
69,15.0,0.0
70,0.0,0.0
71,0.0,2745.0
72,1153.0,0.0
73,22.0,0.0
74,172.0,0.0
75,0.0,0.0
76,64.0,0.0
77,0.0,0.0
